Rank: 0, Name: SuperStormSmith, Trophies: 2413
Rank: 1, Name: Jnuts, Trophies: 2375
Rank: 2, Name: Kalou, Trophies: 2336
Rank: 3, Name: AnkokuOppai, Trophies: 2318
Rank: 4, Name: Jmuts, Trophies: 2317
Rank: 5, Name: Waterfall38, Trophies: 2317
Rank: 6, Name: Avenger, Trophies: 2314
Rank: 7, Name: JayNaughts, Trophies: 2312
Rank: 8, Name: Jnut, Trophies: 2303
Rank: 9, Name: DarkHelix, Trophies: 2263
Rank: 10, Name: Thoran, Trophies: 2256
Rank: 11, Name: Loco422, Trophies: 2252
Rank: 12, Name: kattan, Trophies: 2235
Rank: 13, Name: Purveyor, Trophies: 2230
Rank: 14, Name: Qwerty0404, Trophies: 2222
Rank: 15, Name: jflawiefer, Trophies: 2218
Rank: 16, Name: Agie, Trophies: 2211
Rank: 17, Name: DivanNya, Trophies: 2183
Rank: 18, Name: Jnutts, Trophies: 2177
Rank: 19, Name: Caim, Trophies: 2170
Rank: 20, Name: Adlet, Trophies: 2145
Rank: 21, Name: Boristherussian, Trophies: 2135
Rank: 22, Name: Xinchan, Trophies: 2115
Rank: 23, Name: Falsestar, Trophies: 2112
Rank: 24, Name: kayede, Trophies: 2109
Rank: 25, Name: Ebenmaw, Trophies: 2109
Rank: 26, Name: kalak, Trophies: 2108
Rank: 27, Name: TayoPayo5369, Trophies: 2095
Rank: 28, Name: startadeadhorse, Trophies: 2089
Rank: 29, Name: sabu, Trophies: 2086
Rank: 30, Name: Fenchurch, Trophies: 2083
Rank: 31, Name: maji, Trophies: 2081
Rank: 32, Name: warced, Trophies: 2077
Rank: 33, Name: Fra, Trophies: 2019
Rank: 34, Name: Zubatsu, Trophies: 2019
Rank: 35, Name: Walls18, Trophies: 2016
Rank: 36, Name: Marvin, Trophies: 2016
Rank: 37, Name: nefanefa, Trophies: 2010
Rank: 38, Name: Ryu, Trophies: 2004
Rank: 39, Name: Catbac, Trophies: 2000
Rank: 40, Name: Crissaegrim, Trophies: 2000
Rank: 41, Name: Dinuko, Trophies: 1990
Rank: 42, Name: Copesetic, Trophies: 1990
Rank: 43, Name: jsx97, Trophies: 1985
Rank: 44, Name: Cheat22, Trophies: 1974
Rank: 45, Name: niliva, Trophies: 1971
Rank: 46, Name: Lucardio, Trophies: 1961
Rank: 47, Name: countdoom, Trophies: 1956
Rank: 48, Name: Aqape, Trophies: 1952
Rank: 49, Name: futanari, Trophies: 1949
Rank: 50, Name: lebenou83, Trophies: 1949
Rank: 51, Name: MaxWaifus, Trophies: 1940
Rank: 52, Name: Blizzardus, Trophies: 1934
Rank: 53, Name: Avastor, Trophies: 1934
Rank: 54, Name: Beast911, Trophies: 1932
Rank: 55, Name: Dante1996, Trophies: 1929
Rank: 56, Name: avalanche7, Trophies: 1928
Rank: 57, Name: enominay, Trophies: 1925
Rank: 58, Name: chuckles, Trophies: 1915
Rank: 59, Name: SeaL, Trophies: 1909
Rank: 60, Name: SOX014, Trophies: 1908
Rank: 61, Name: Kamoth, Trophies: 1899
Rank: 62, Name: metareq, Trophies: 1887
Rank: 63, Name: Youareaperson99, Trophies: 1884
Rank: 64, Name: koramoto, Trophies: 1881
Rank: 65, Name: off717, Trophies: 1880
Rank: 66, Name: yartil, Trophies: 1879
Rank: 67, Name: heroqucas, Trophies: 1876
Rank: 68, Name: Alyra, Trophies: 1872
Rank: 69, Name: phot, Trophies: 1870
Rank: 70, Name: Fierwolf, Trophies: 1870
Rank: 71, Name: misha1996misha, Trophies: 1865
Rank: 72, Name: Cerria, Trophies: 1863
Rank: 73, Name: FrogB, Trophies: 1860
Rank: 74, Name: Toesti, Trophies: 1859
Rank: 75, Name: Valkrie, Trophies: 1859
Rank: 76, Name: Alfred, Trophies: 1858
Rank: 77, Name: Demon7, Trophies: 1857
Rank: 78, Name: EliasDrake, Trophies: 1854
Rank: 79, Name: Big Chungus, Trophies: 1854
Rank: 80, Name: SmilingJack, Trophies: 1850
Rank: 81, Name: AltileryX, Trophies: 1846
Rank: 82, Name: KingFurry, Trophies: 1845
Rank: 83, Name: Needstobe, Trophies: 1842
Rank: 84, Name: chubi, Trophies: 1841
Rank: 85, Name: Kromm69, Trophies: 1840
Rank: 86, Name: DonSatorie, Trophies: 1837
Rank: 87, Name: hepha, Trophies: 1837
Rank: 88, Name: Henrixz, Trophies: 1835
Rank: 89, Name: Shinesman, Trophies: 1833
Rank: 90, Name: muchas, Trophies: 1830
Rank: 91, Name: Semoide, Trophies: 1830
Rank: 92, Name: 4444ehre, Trophies: 1823
Rank: 93, Name: Fuckfucker, Trophies: 1823
Rank: 94, Name: FeelGoodPain, Trophies: 1823
Rank: 95, Name: Stormy, Trophies: 1819
Rank: 96, Name: Hosengott, Trophies: 1819
Rank: 97, Name: gartak, Trophies: 1807
Rank: 98, Name: Bellzebub, Trophies: 1802
Rank: 99, Name: sseshess, Trophies: 1791
