Rank: 0, Name: radiofreak, Trophies: 1100
Rank: 1, Name: kalak, Trophies: 1091
Rank: 2, Name: Purveyor, Trophies: 1080
Rank: 3, Name: DiscordDo, Trophies: 1059
Rank: 4, Name: Tomitain, Trophies: 1028
Rank: 5, Name: enominay, Trophies: 1014
Rank: 6, Name: Jnuts, Trophies: 1000
Rank: 7, Name: Zandevon, Trophies: 1000
Rank: 8, Name: KaiBaka, Trophies: 1000
Rank: 9, Name: KitTiara, Trophies: 1000
Rank: 10, Name: ZEDevilions, Trophies: 1000
Rank: 11, Name: Jnut, Trophies: 1000
