Rank: 0, Name: Jnuts, Trophies: 2380
Rank: 1, Name: Thoran, Trophies: 2317
Rank: 2, Name: Kalou, Trophies: 2303
Rank: 3, Name: Waterfall38, Trophies: 2300
Rank: 4, Name: SuperStormSmith, Trophies: 2299
Rank: 5, Name: DivanNya, Trophies: 2297
Rank: 6, Name: AnkokuOppai, Trophies: 2284
Rank: 7, Name: Jmuts, Trophies: 2278
Rank: 8, Name: Avenger, Trophies: 2271
Rank: 9, Name: DarkHelix, Trophies: 2267
Rank: 10, Name: Agie, Trophies: 2253
Rank: 11, Name: Jnut, Trophies: 2238
Rank: 12, Name: Qwerty0404, Trophies: 2228
Rank: 13, Name: kattan, Trophies: 2195
Rank: 14, Name: jflawiefer, Trophies: 2189
Rank: 15, Name: Adlet, Trophies: 2138
Rank: 16, Name: JayNaughts, Trophies: 2133
Rank: 17, Name: startadeadhorse, Trophies: 2132
Rank: 18, Name: Boristherussian, Trophies: 2129
Rank: 19, Name: sabu, Trophies: 2126
Rank: 20, Name: Jnutts, Trophies: 2125
Rank: 21, Name: Xinchan, Trophies: 2124
Rank: 22, Name: Loco422, Trophies: 2098
Rank: 23, Name: Ebenmaw, Trophies: 2081
Rank: 24, Name: kayede, Trophies: 2076
Rank: 25, Name: Purveyor, Trophies: 2058
Rank: 26, Name: Falsestar, Trophies: 2054
Rank: 27, Name: Catbac, Trophies: 2050
Rank: 28, Name: Walls18, Trophies: 2047
Rank: 29, Name: Fenchurch, Trophies: 2030
Rank: 30, Name: Ryu, Trophies: 2028
Rank: 31, Name: kalak, Trophies: 2022
Rank: 32, Name: warced, Trophies: 2019
Rank: 33, Name: jsx97, Trophies: 2016
Rank: 34, Name: muchas, Trophies: 2009
Rank: 35, Name: Fra, Trophies: 1998
Rank: 36, Name: lebenou83, Trophies: 1991
Rank: 37, Name: TayoPayo5369, Trophies: 1980
Rank: 38, Name: avalanche7, Trophies: 1970
Rank: 39, Name: Lucardio, Trophies: 1966
Rank: 40, Name: Beast911, Trophies: 1960
Rank: 41, Name: Marvin, Trophies: 1950
Rank: 42, Name: maji, Trophies: 1940
Rank: 43, Name: SeaL, Trophies: 1935
Rank: 44, Name: niliva, Trophies: 1935
Rank: 45, Name: Crissaegrim, Trophies: 1935
Rank: 46, Name: Cheat22, Trophies: 1934
Rank: 47, Name: nefanefa, Trophies: 1931
Rank: 48, Name: futanari, Trophies: 1928
Rank: 49, Name: Dante1996, Trophies: 1928
Rank: 50, Name: Dinuko, Trophies: 1926
Rank: 51, Name: Valkrie, Trophies: 1926
Rank: 52, Name: Copesetic, Trophies: 1921
Rank: 53, Name: DonSatorie, Trophies: 1908
Rank: 54, Name: AltileryX, Trophies: 1906
Rank: 55, Name: Needstobe, Trophies: 1891
Rank: 56, Name: metareq, Trophies: 1890
Rank: 57, Name: Stormy, Trophies: 1861
Rank: 58, Name: yartil, Trophies: 1861
Rank: 59, Name: Avastor, Trophies: 1858
Rank: 60, Name: phot, Trophies: 1858
Rank: 61, Name: FrogB, Trophies: 1856
Rank: 62, Name: countdoom, Trophies: 1856
Rank: 63, Name: EliasDrake, Trophies: 1854
Rank: 64, Name: Fierwolf, Trophies: 1852
Rank: 65, Name: Alfred, Trophies: 1850
Rank: 66, Name: enominay, Trophies: 1839
Rank: 67, Name: MaxWaifus, Trophies: 1834
Rank: 68, Name: 4444ehre, Trophies: 1833
Rank: 69, Name: gartak, Trophies: 1826
Rank: 70, Name: Caim, Trophies: 1826
Rank: 71, Name: hepha, Trophies: 1825
Rank: 72, Name: chuckles, Trophies: 1824
Rank: 73, Name: Blizzardus, Trophies: 1823
Rank: 74, Name: Bahz, Trophies: 1821
Rank: 75, Name: off717, Trophies: 1820
Rank: 76, Name: Cerria, Trophies: 1820
Rank: 77, Name: SOX014, Trophies: 1819
Rank: 78, Name: SmilingJack, Trophies: 1818
Rank: 79, Name: heroqucas, Trophies: 1818
Rank: 80, Name: FeelGoodPain, Trophies: 1812
Rank: 81, Name: Big Chungus, Trophies: 1812
Rank: 82, Name: Youareaperson99, Trophies: 1811
Rank: 83, Name: Fuckfucker, Trophies: 1810
Rank: 84, Name: Shirokage, Trophies: 1809
Rank: 85, Name: Kamoth, Trophies: 1807
Rank: 86, Name: depressiv, Trophies: 1806
Rank: 87, Name: Ravenvvv, Trophies: 1805
Rank: 88, Name: Zubatsu, Trophies: 1804
Rank: 89, Name: chubi, Trophies: 1804
Rank: 90, Name: Akasaka, Trophies: 1804
Rank: 91, Name: Alyra, Trophies: 1802
Rank: 92, Name: KingFurry, Trophies: 1800
Rank: 93, Name: Bazsi, Trophies: 1797
Rank: 94, Name: MyUserName, Trophies: 1796
Rank: 95, Name: sc0ut135, Trophies: 1794
Rank: 96, Name: Rude, Trophies: 1790
Rank: 97, Name: bezet, Trophies: 1786
Rank: 98, Name: Demon7, Trophies: 1786
Rank: 99, Name: Hosengott, Trophies: 1785
