Rank: 0, Name: Jnut, Trophies: 2007
Rank: 1, Name: Boristherussian, Trophies: 1962
Rank: 2, Name: Jmuts, Trophies: 1932
Rank: 3, Name: DarkHelix, Trophies: 1913
Rank: 4, Name: SuperStormSmith, Trophies: 1904
Rank: 5, Name: Kalou, Trophies: 1889
Rank: 6, Name: AnkokuOppai, Trophies: 1864
Rank: 7, Name: Agie, Trophies: 1863
Rank: 8, Name: kattan, Trophies: 1855
Rank: 9, Name: startadeadhorse, Trophies: 1849
Rank: 10, Name: jflawiefer, Trophies: 1819
Rank: 11, Name: Falsestar, Trophies: 1799
Rank: 12, Name: Purveyor, Trophies: 1796
Rank: 13, Name: DivanNya, Trophies: 1788
Rank: 14, Name: Catbac, Trophies: 1782
Rank: 15, Name: kayede, Trophies: 1759
Rank: 16, Name: Jnuts, Trophies: 1755
Rank: 17, Name: JayNaughts, Trophies: 1752
Rank: 18, Name: nefanefa, Trophies: 1739
Rank: 19, Name: Qwerty0404, Trophies: 1739
Rank: 20, Name: Ryu, Trophies: 1738
Rank: 21, Name: Ebenmaw, Trophies: 1738
Rank: 22, Name: Waterfall38, Trophies: 1720
Rank: 23, Name: jsx97, Trophies: 1708
Rank: 24, Name: Fra, Trophies: 1706
Rank: 25, Name: Fenchurch, Trophies: 1694
Rank: 26, Name: Copesetic, Trophies: 1677
Rank: 27, Name: TayoPayo5369, Trophies: 1677
Rank: 28, Name: Jnutts, Trophies: 1672
Rank: 29, Name: Crissaegrim, Trophies: 1672
Rank: 30, Name: Blizzardus, Trophies: 1669
Rank: 31, Name: Marvin, Trophies: 1668
Rank: 32, Name: avalanche7, Trophies: 1666
Rank: 33, Name: futanari, Trophies: 1658
Rank: 34, Name: Xinchan, Trophies: 1642
Rank: 35, Name: metareq, Trophies: 1638
Rank: 36, Name: enominay, Trophies: 1637
Rank: 37, Name: Dante1996, Trophies: 1636
Rank: 38, Name: Aqape, Trophies: 1635
Rank: 39, Name: warced, Trophies: 1635
Rank: 40, Name: niliva, Trophies: 1635
Rank: 41, Name: Stormy, Trophies: 1628
Rank: 42, Name: Kamoth, Trophies: 1628
Rank: 43, Name: KingFurry, Trophies: 1626
Rank: 44, Name: maji, Trophies: 1624
Rank: 45, Name: lebenou83, Trophies: 1604
Rank: 46, Name: heroqucas, Trophies: 1585
Rank: 47, Name: 4444ehre, Trophies: 1581
Rank: 48, Name: DonSatorie, Trophies: 1579
Rank: 49, Name: Cheat22, Trophies: 1575
Rank: 50, Name: off717, Trophies: 1574
Rank: 51, Name: Fierwolf, Trophies: 1573
Rank: 52, Name: Lucardio, Trophies: 1571
Rank: 53, Name: hepha, Trophies: 1571
Rank: 54, Name: Toesti, Trophies: 1568
Rank: 55, Name: egopali, Trophies: 1567
Rank: 56, Name: AbatAnon, Trophies: 1566
Rank: 57, Name: EliasDrake, Trophies: 1566
Rank: 58, Name: gartak, Trophies: 1565
Rank: 59, Name: Dinuko, Trophies: 1565
Rank: 60, Name: SeaL, Trophies: 1565
Rank: 61, Name: Doodi, Trophies: 1565
Rank: 62, Name: SmilingJack, Trophies: 1560
Rank: 63, Name: MaxWaifus, Trophies: 1559
Rank: 64, Name: Valkrie, Trophies: 1559
Rank: 65, Name: FrogB, Trophies: 1558
Rank: 66, Name: waying, Trophies: 1554
Rank: 67, Name: Dubs, Trophies: 1549
Rank: 68, Name: Ravenvvv, Trophies: 1546
Rank: 69, Name: muchas, Trophies: 1546
Rank: 70, Name: Loco422, Trophies: 1545
Rank: 71, Name: Alyra, Trophies: 1545
Rank: 72, Name: Walls18, Trophies: 1542
Rank: 73, Name: Shinesman, Trophies: 1540
Rank: 74, Name: Big Chungus, Trophies: 1533
Rank: 75, Name: AltileryX, Trophies: 1532
Rank: 76, Name: Needstobe, Trophies: 1531
Rank: 77, Name: Mithadis, Trophies: 1530
Rank: 78, Name: Rude, Trophies: 1525
Rank: 79, Name: phot, Trophies: 1525
Rank: 80, Name: Mistress, Trophies: 1523
Rank: 81, Name: Youareaperson99, Trophies: 1521
Rank: 82, Name: Akasaka, Trophies: 1521
Rank: 83, Name: Bahz, Trophies: 1520
Rank: 84, Name: Fuckfucker, Trophies: 1520
Rank: 85, Name: BigPapi, Trophies: 1520
Rank: 86, Name: Hosengott, Trophies: 1519
Rank: 87, Name: Worthless, Trophies: 1518
Rank: 88, Name: Cerria, Trophies: 1517
Rank: 89, Name: monkeyfire7, Trophies: 1510
Rank: 90, Name: depressiv, Trophies: 1509
Rank: 91, Name: Alfred, Trophies: 1507
Rank: 92, Name: Adlet, Trophies: 1506
Rank: 93, Name: Demikas, Trophies: 1504
Rank: 94, Name: Lusiphe666, Trophies: 1504
Rank: 95, Name: sseshess, Trophies: 1504
Rank: 96, Name: Nobody36, Trophies: 1503
Rank: 97, Name: Sebicz, Trophies: 1503
Rank: 98, Name: DANSLOWAS, Trophies: 1500
Rank: 99, Name: Shirokage, Trophies: 1497
